,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
57,57,10413,YAP1,-,554,134,2.178e-171,22618028,(p=3.06e-04),,28376152,(p=3.12e-04),,26432639,(p=3.12e-04),,24101154,(p=3.13e-04),,28754671,(p=3.15e-04),,24367099,(p=4.01e-04),,27832783,(p=7.01e-04),,24810048,(p=7.02e-04),,20841485,(p=8.00e-04),,19935651,(p=9.01e-04),
58,58,558,AXL,-,235,102,3.365e-171,27856601,(p=1.05e-04),,28118606,(p=3.05e-04),,27927748,(p=3.06e-04),,21132014,(p=3.08e-04),,27671334,(p=3.08e-04),,20818175,(p=3.08e-04),,28072762,(p=3.10e-04),,26036314,(p=3.10e-04),,24926787,(p=3.11e-04),,23629654,(p=3.11e-04),
59,59,3717,JAK2,-,1189,178,4.27e-171,24953013,(p=9.61e-05),,24158701,(p=9.93e-05),,24930769,(p=1.07e-04),,23123718,(p=1.07e-04),,20072651,(p=1.10e-04),,26360705,(p=3.00e-04),,26084564,(p=3.00e-04),,19234487,(p=3.05e-04),,22319590,(p=3.06e-04),,25226617,(p=3.07e-04),
60,60,598,BCL2L1,-,648,141,9.431e-171,24922075,(p=9.40e-05),,17927446,(p=1.04e-04),,26188358,(p=3.01e-04),,18216295,(p=3.01e-04),,21840391,(p=3.01e-04),,19917720,(p=3.06e-04),,23475955,(p=3.07e-04),,21863213,(p=3.07e-04),,23680104,(p=3.08e-04),,22433870,(p=3.09e-04),
61,61,6502,SKP2,-,415,120,9.529e-169,28230855,(p=3.01e-04),,24651440,(p=3.02e-04),,19636294,(p=3.04e-04),,23229098,(p=3.05e-04),,18451165,(p=3.08e-04),,19631451,(p=3.08e-04),,18519678,(p=3.09e-04),,12042314,(p=3.11e-04),,25788262,(p=3.13e-04),,18716061,(p=3.14e-04),
62,62,4851,NOTCH1,-,1098,167,1.884e-165,24885920,(p=3.02e-04),,18469855,(p=3.06e-04),,28122586,(p=3.06e-04),,25192910,(p=3.10e-04),,21398698,(p=3.11e-04),,20346213,(p=3.12e-04),,23289374,(p=3.13e-04),,22968660,(p=3.13e-04),,14583609,(p=3.15e-04),,25849484,(p=4.01e-04),
63,63,3611,ILK,-,289,105,4.779e-165,22570869,(p=9.56e-05),,27576342,(p=9.90e-05),,18283114,(p=1.03e-04),,20838383,(p=1.06e-04),,21601006,(p=1.06e-04),,12778079,(p=1.08e-04),,24911651,(p=1.12e-04),,26531674,(p=3.01e-04),,12164932,(p=3.05e-04),,12642872,(p=3.07e-04),
64,64,891,CCNB1,-,410,116,2.4e-163,19855194,(p=1.03e-04),,26555773,(p=1.09e-04),,18408765,(p=1.11e-04),,20367638,(p=3.07e-04),,27927753,(p=3.08e-04),,24488334,(p=3.08e-04),,21504622,(p=3.09e-04),,20890132,(p=3.09e-04),,16407259,(p=3.09e-04),,27486754,(p=3.09e-04),
65,65,3320,HSP90AA1,-,908,153,3.555e-163,24927996,(p=1.10e-04),,22451720,(p=1.11e-04),,22806877,(p=3.01e-04),,19952121,(p=3.03e-04),,26831064,(p=3.03e-04),,20585984,(p=3.04e-04),,28032595,(p=3.04e-04),,21871133,(p=3.07e-04),,22144665,(p=3.08e-04),,23418523,(p=3.08e-04),
66,66,5894,RAF1,-,542,121,8.816e-155,22081024,(p=9.01e-05),,16909118,(p=1.11e-04),,21139044,(p=1.11e-04),,22907845,(p=3.03e-04),,24486585,(p=3.04e-04),,25862004,(p=3.09e-04),,16465392,(p=3.13e-04),,19633425,(p=3.15e-04),,16239230,(p=3.15e-04),,20179161,(p=4.01e-04),
67,67,3815,KIT,-,935,147,1.866e-154,28760855,(p=9.41e-05),,27633918,(p=9.78e-05),,21157293,(p=9.94e-05),,19540337,(p=1.03e-04),,19789626,(p=3.01e-04),,19861442,(p=3.02e-04),,17691909,(p=3.03e-04),,20857409,(p=3.05e-04),,24211243,(p=3.05e-04),,18632627,(p=3.06e-04),
68,68,545,ATR,-,458,114,3.412e-154,19527713,(p=3.06e-04),,26563132,(p=3.08e-04),,19154794,(p=3.11e-04),,29038346,(p=3.11e-04),,26755646,(p=3.12e-04),,19119425,(p=3.13e-04),,21308861,(p=3.15e-04),,11551930,(p=3.15e-04),,25812484,(p=3.16e-04),,27625305,(p=4.01e-04),
69,69,5058,PAK1,-,446,113,3.572e-154,25468898,(p=1.07e-04),,17621631,(p=1.08e-04),,26078008,(p=1.11e-04),,22252525,(p=1.11e-04),,26257058,(p=3.01e-04),,25675297,(p=3.03e-04),,23233484,(p=3.06e-04),,27117533,(p=3.09e-04),,27740936,(p=3.10e-04),,26379399,(p=5.00e-04),
