,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
49,49,978,CDA,-,89,12,5.285e-22,26083014,(p=1.24e-04),,16507781,(p=2.05e-04),,20890066,(p=4.02e-04),,26090398,(p=8.01e-04),,22052224,(p=3.70e-03),,18347182,(p=4.30e-03),,25850965,(p=4.50e-03),,22304580,(p=4.70e-03),,22592598,(p=8.20e-03),,23995783,(p=8.40e-03),
50,50,7852,CXCR4,-,1729,30,9.528e-22,26155911,(p=2.06e-04),,20035824,(p=1.30e-03),,22914607,(p=1.40e-03),,21624427,(p=1.50e-03),,15054042,(p=1.60e-03),,25378977,(p=2.90e-03),,26538086,(p=3.00e-03),,26269605,(p=3.70e-03),,27282562,(p=3.90e-03),,24035716,(p=3.90e-03),
51,51,6240,RRM1,-,141,13,2.187e-21,26083014,(p=1.24e-04),,24024897,(p=2.05e-04),,18483375,(p=4.80e-03),,24215511,(p=5.00e-03),,23982437,(p=5.30e-03),,25078585,(p=6.30e-03),,20868593,(p=6.50e-03),,24361227,(p=6.70e-03),,19002265,(p=7.50e-03),,24045016,(p=8.20e-03),
52,52,598,BCL2L1,-,648,20,2.731e-21,21863213,(p=1.00e-03),,15657349,(p=1.50e-03),,25590803,(p=1.70e-03),,20728382,(p=3.30e-03),,19008458,(p=3.60e-03),,26452980,(p=3.60e-03),,26396258,(p=4.30e-03),,18843207,(p=5.40e-03),,14520471,(p=6.30e-03),,16928273,(p=6.30e-03),
53,53,4524,MTHFR,-,3221,40,2.825e-21,19005482,(p=7.04e-04),,19923983,(p=8.01e-04),,23183238,(p=1.00e-03),,20216541,(p=1.30e-03),,20734048,(p=1.30e-03),,17488658,(p=1.40e-03),,23407049,(p=1.40e-03),,19307503,(p=1.70e-03),,20634689,(p=1.70e-03),,18691257,(p=3.00e-03),
54,54,4893,NRAS,-,446,17,2.42e-20,18450602,(p=2.07e-04),,25901794,(p=1.00e-03),,18559876,(p=1.10e-03),,28284557,(p=2.70e-03),,24737308,(p=3.60e-03),,20726318,(p=3.70e-03),,19047918,(p=4.10e-03),,27240832,(p=4.50e-03),,25204082,(p=4.80e-03),,27385790,(p=5.00e-03),
55,55,331,XIAP,-,499,17,1.513e-19,20938744,(p=1.24e-04),,22173242,(p=7.01e-04),,20582956,(p=7.01e-04),,22776562,(p=1.50e-03),,19654940,(p=3.10e-03),,27607580,(p=4.50e-03),,15173080,(p=5.30e-03),,12855663,(p=5.30e-03),,19738422,(p=5.50e-03),,25572427,(p=6.20e-03),
56,56,3417,IDH1,-,539,17,5.255e-19,26016821,(p=7.01e-04),,20368543,(p=1.30e-03),,22020636,(p=1.50e-03),,24936872,(p=1.50e-03),,20625116,(p=3.00e-03),,25651001,(p=3.10e-03),,21873548,(p=3.10e-03),,25523507,(p=4.10e-03),,20376086,(p=4.40e-03),,20567020,(p=4.50e-03),
57,57,4255,MGMT,-,599,17,2.878e-18,25163906,(p=7.01e-04),,19860620,(p=1.50e-03),,25031012,(p=1.70e-03),,1387001,(p=2.20e-03),,18156172,(p=2.20e-03),,24718901,(p=2.70e-03),,27603910,(p=4.30e-03),,23422094,(p=4.50e-03),,25160658,(p=4.50e-03),,27918718,(p=5.40e-03),
58,58,5347,PLK1,-,605,17,3.324e-18,23144294,(p=4.02e-04),,23520509,(p=1.50e-03),,23753023,(p=2.20e-03),,24874015,(p=2.70e-03),,23792639,(p=3.00e-03),,27647547,(p=3.10e-03),,21399492,(p=3.70e-03),,22753241,(p=5.20e-03),,22188812,(p=5.30e-03),,25826089,(p=5.40e-03),
