,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
54,54,595,CCND1,-,1381,74,6.847e-65,20631637,(p=5.03e-04),,26055143,(p=1.30e-03),,17203214,(p=1.80e-03),,16406195,(p=1.90e-03),,27798882,(p=1.90e-03),,20631636,(p=2.20e-03),,27864121,(p=2.30e-03),,24862872,(p=2.60e-03),,25322986,(p=3.00e-03),,20699365,(p=3.00e-03),
55,55,7852,CXCR4,-,1729,81,2.202e-64,27822706,(p=9.00e-04),,23443279,(p=9.01e-04),,15802268,(p=1.10e-03),,27922681,(p=1.10e-03),,22220212,(p=1.60e-03),,28533307,(p=1.70e-03),,28000861,(p=1.80e-03),,24200972,(p=1.90e-03),,22952422,(p=2.20e-03),,24711662,(p=2.50e-03),
56,56,5595,MAPK3,-,1306,71,1.123e-63,22696230,(p=1.10e-03),,21444628,(p=1.10e-03),,26705127,(p=1.70e-03),,19147502,(p=1.70e-03),,23306155,(p=1.90e-03),,19729990,(p=1.90e-03),,26514924,(p=1.90e-03),,17510316,(p=2.50e-03),,20072648,(p=2.50e-03),,17526808,(p=2.70e-03),
57,57,8743,TNFSF10,-,776,58,1.327e-63,18922903,(p=1.10e-03),,20417200,(p=1.60e-03),,22948392,(p=1.90e-03),,15634757,(p=2.20e-03),,17638906,(p=2.60e-03),,23456625,(p=3.20e-03),,27721019,(p=3.20e-03),,15757891,(p=3.20e-03),,21670755,(p=3.40e-03),,12934102,(p=3.50e-03),
58,58,4851,NOTCH1,-,1098,66,1.67e-63,26670666,(p=4.14e-04),,23916913,(p=5.03e-04),,22173954,(p=8.03e-04),,28122586,(p=8.03e-04),,26394830,(p=9.02e-04),,18469855,(p=1.10e-03),,21326611,(p=1.80e-03),,23531595,(p=1.90e-03),,23632994,(p=1.90e-03),,27870570,(p=1.90e-03),
59,59,3091,HIF1A,-,2688,98,5.665e-63,20154724,(p=4.09e-04),,25748238,(p=5.03e-04),,21343371,(p=9.02e-04),,21966417,(p=1.10e-03),,25596742,(p=1.20e-03),,24018850,(p=1.60e-03),,28610954,(p=1.60e-03),,19435875,(p=1.60e-03),,16847054,(p=1.70e-03),,23785417,(p=1.90e-03),
60,60,1029,CDKN2A,-,2118,86,3.965e-62,26670666,(p=4.14e-04),,27090891,(p=5.05e-04),,21857254,(p=8.02e-04),,28283584,(p=9.02e-04),,26754455,(p=1.10e-03),,17575133,(p=1.20e-03),,27052656,(p=1.60e-03),,26686095,(p=1.90e-03),,7882351,(p=1.90e-03),,18559592,(p=1.90e-03),
61,61,2066,ERBB4,-,288,41,1.524e-61,29342193,(p=5.05e-04),,28359267,(p=6.02e-04),,19447869,(p=6.03e-04),,18182100,(p=1.10e-03),,17487277,(p=1.60e-03),,27207775,(p=1.60e-03),,17681096,(p=1.60e-03),,17177598,(p=1.90e-03),,19624808,(p=2.50e-03),,24893630,(p=2.60e-03),
62,62,10018,BCL2L11,-,424,45,3.582e-60,26001141,(p=1.02e-04),,17927446,(p=3.01e-04),,23382048,(p=3.04e-04),,24737648,(p=3.05e-04),,26639561,(p=3.06e-04),,26287412,(p=4.01e-04),,22426421,(p=4.04e-04),,24493829,(p=4.08e-04),,23532334,(p=4.14e-04),,25057939,(p=4.14e-04),
63,63,7298,TYMS,-,532,48,1.05e-59,20061047,(p=4.03e-04),,21618517,(p=4.10e-04),,19307503,(p=8.02e-04),,27191954,(p=1.00e-03),,12084458,(p=1.10e-03),,22172489,(p=1.10e-03),,26502926,(p=1.40e-03),,26220094,(p=1.60e-03),,23350714,(p=1.90e-03),,27666600,(p=1.90e-03),
