,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
67,67,675,BRCA2,-,1564,19,1.433e-13,20609467,(p=1.70e-03),,19564533,(p=1.90e-03),,19877382,(p=2.20e-03),,28549976,(p=3.10e-03),,23810788,(p=3.30e-03),,24217135,(p=4.00e-03),,20609468,(p=4.10e-03),,21378390,(p=4.50e-03),,27520487,(p=5.20e-03),,17145825,(p=5.30e-03),
68,68,5347,PLK1,-,605,13,2.283e-13,23144294,(p=2.10e-04),,23792639,(p=2.10e-03),,21399492,(p=3.10e-03),,27647547,(p=3.30e-03),,18547964,(p=5.30e-03),,28267710,(p=8.20e-03),,22309939,(p=8.70e-03),,19452252,(p=9.00e-03),,24874015,(p=9.00e-03),,23753023,(p=9.10e-03),
69,69,2305,FOXM1,-,363,11,2.761e-13,28482906,(p=4.04e-04),,26560505,(p=2.20e-03),,27439614,(p=2.30e-03),,25213081,(p=4.00e-03),,26316295,(p=4.30e-03),,25760224,(p=4.30e-03),,23857410,(p=7.80e-03),,23054116,(p=9.00e-03),,22900969,(p=9.10e-03),,25808837,(p=9.20e-03),
70,70,581,BAX,-,932,15,3.382e-13,27494852,(p=8.07e-05),,17388661,(p=2.13e-04),,12749011,(p=4.04e-04),,11839668,(p=6.00e-04),,18494554,(p=9.00e-04),,25982455,(p=9.00e-04),,9824152,(p=4.40e-03),,22852863,(p=4.40e-03),,25957891,(p=6.40e-03),,14719078,(p=8.70e-03),
71,71,1577,CYP3A5,-,628,13,3.463e-13,20459744,(p=8.01e-04),,20395213,(p=1.40e-03),,20179710,(p=2.20e-03),,28404946,(p=4.10e-03),,28697165,(p=4.40e-03),,20530282,(p=4.60e-03),,17264302,(p=5.30e-03),,18930278,(p=5.30e-03),,19470925,(p=5.30e-03),,19696793,(p=5.30e-03),
72,72,1576,CYP3A4,-,777,14,3.488e-13,17634410,(p=4.04e-04),,21169260,(p=6.00e-04),,20459744,(p=8.01e-04),,20395213,(p=1.40e-03),,28404946,(p=4.10e-03),,17409981,(p=4.10e-03),,18768784,(p=4.10e-03),,20530282,(p=4.60e-03),,19470925,(p=5.30e-03),,19696793,(p=5.30e-03),
73,73,4311,MME,-,278,10,5.126e-13,19656156,(p=8.46e-05),,18292286,(p=9.77e-05),,15720419,(p=3.30e-03),,19787248,(p=3.60e-03),,22994707,(p=4.10e-03),,19448593,(p=5.30e-03),,25308002,(p=5.60e-03),,26830028,(p=8.50e-03),,21585282,(p=9.00e-03),,20947507,(p=9.20e-03),
74,74,4869,NPM1,-,659,13,6.003e-13,26789727,(p=1.70e-03),,27798920,(p=3.00e-03),,27643573,(p=3.30e-03),,20592250,(p=4.30e-03),,27416910,(p=5.50e-03),,23064464,(p=6.20e-03),,19587375,(p=6.40e-03),,19059939,(p=6.70e-03),,18559874,(p=6.80e-03),,19535344,(p=8.50e-03),
75,75,1244,ABCC2,-,283,10,5.949e-13,12576456,(p=1.00e-03),,19885582,(p=2.60e-03),,17534875,(p=4.40e-03),,20530282,(p=4.60e-03),,19696793,(p=5.30e-03),,17925548,(p=6.20e-03),,19636001,(p=7.40e-03),,21206495,(p=8.90e-03),,20439344,(p=9.00e-03),,22112610,(p=9.70e-03),
76,76,5743,PTGS2,-,2041,20,1.605e-12,24637636,(p=1.40e-03),,12209745,(p=1.70e-03),,20631636,(p=1.70e-03),,19885582,(p=2.60e-03),,22547578,(p=3.20e-03),,25975224,(p=4.50e-03),,21424032,(p=4.60e-03),,25888998,(p=4.70e-03),,24184161,(p=6.40e-03),,22206958,(p=6.40e-03),
