,Rank,GeneID,Symbol,Homologs,n,n_pos,FDR,Top,10,pmids,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
60,60,10451,VAV3,-,75,13,0,23566222,(p=9.19e-05),,24886537,(p=1.01e-04),,16982329,(p=1.10e-03),,16762975,(p=1.10e-03),,27930970,(p=1.10e-03),,25791293,(p=1.50e-03),,18518979,(p=2.40e-03),,11094073,(p=4.70e-03),,22544459,(p=5.10e-03),,22659453,(p=5.60e-03),
61,61,3217,HOXB7,-,81,14,0,17018609,(p=5.02e-04),,21474578,(p=1.20e-03),,21690342,(p=1.70e-03),,24088503,(p=2.70e-03),,24853421,(p=4.00e-03),,28646927,(p=4.10e-03),,22914903,(p=4.40e-03),,25542862,(p=5.10e-03),,26180042,(p=5.10e-03),,27901487,(p=6.20e-03),
62,62,2925,GRPR,-,64,11,0,20596631,(p=3.00e-04),,17349623,(p=5.03e-04),,18753628,(p=5.05e-04),,15967120,(p=1.20e-03),,28351312,(p=1.30e-03),,24747971,(p=3.10e-03),,25630799,(p=6.00e-03),,18483184,(p=7.10e-03),,19631337,(p=7.80e-03),,12220644,(p=8.80e-03),
63,63,6241,RRM2,-,106,18,0,26333382,(p=7.00e-04),,19568409,(p=1.70e-03),,23719266,(p=1.70e-03),,24423925,(p=2.40e-03),,28507282,(p=3.40e-03),,23466567,(p=3.60e-03),,18278438,(p=3.60e-03),,19002265,(p=4.60e-03),,19416980,(p=4.70e-03),,27517489,(p=5.10e-03),
64,64,2051,EPHB6,-,60,10,0,20371680,(p=3.60e-03),,27418135,(p=3.60e-03),,25331796,(p=4.60e-03),,27788485,(p=5.60e-03),,19513565,(p=5.60e-03),,12517763,(p=8.80e-03),,27145271,(p=8.80e-03),,14612926,(p=8.90e-03),,23226491,(p=9.20e-03),,10984508,(p=9.80e-03),
65,65,7022,TFAP2C,-,66,11,0,24045439,(p=8.96e-05),,27593936,(p=2.03e-04),,17875680,(p=1.70e-03),,27885255,(p=2.20e-03),,22964634,(p=3.80e-03),,12226108,(p=4.10e-03),,16867219,(p=4.70e-03),,24969902,(p=4.90e-03),,19798054,(p=5.60e-03),,23334330,(p=6.80e-03),
66,66,8682,PEA15,-,84,14,0,22144664,(p=8.82e-05),,27053111,(p=1.30e-03),,19382910,(p=1.70e-03),,27317964,(p=1.70e-03),,19010903,(p=1.70e-03),,26470725,(p=2.00e-03),,27669502,(p=2.40e-03),,23543364,(p=3.60e-03),,19531639,(p=4.40e-03),,20032303,(p=4.40e-03),
67,67,23213,SULF1,-,103,17,0,16778174,(p=5.03e-04),,27806323,(p=5.03e-04),,21594647,(p=7.00e-04),,21853101,(p=1.10e-03),,12686563,(p=1.20e-03),,24970807,(p=1.50e-03),,16762634,(p=1.70e-03),,20083228,(p=2.20e-03),,17363371,(p=2.20e-03),,14973553,(p=3.20e-03),
68,68,660,BMX,-,67,11,0,27101199,(p=2.02e-04),,18413754,(p=4.00e-04),,24606948,(p=1.30e-03),,21408190,(p=1.50e-03),,24709422,(p=1.70e-03),,16912182,(p=1.70e-03),,25649765,(p=2.70e-03),,20206622,(p=7.60e-03),,21339702,(p=8.20e-03),,14532277,(p=9.00e-03),
69,69,5366,PMAIP1,-,122,20,0,27591266,(p=1.50e-03),,27521572,(p=1.70e-03),,15299072,(p=2.00e-03),,26578344,(p=2.60e-03),,24387758,(p=2.70e-03),,23684722,(p=4.30e-03),,21525171,(p=4.40e-03),,24991768,(p=5.40e-03),,20935673,(p=6.00e-03),,22216287,(p=6.60e-03),
